month,price
30/12/2016,19833.17
29/12/2016,19835.46
28/12/2016,19964.31
27/12/2016,19943.46
23/12/2016,19908.61
22/12/2016,19922.68
21/12/2016,19968.97
20/12/2016,19920.59
19/12/2016,19836.66
16/12/2016,19909.01
15/12/2016,19811.50
14/12/2016,19876.13
13/12/2016,19852.21
12/12/2016,19770.20
9/12/2016,19631.35
8/12/2016,19559.94
7/12/2016,19241.99
6/12/2016,19219.91
5/12/2016,19244.35
2/12/2016,19161.25
1/12/2016,19149.20
30/11/2016,19135.64
29/11/2016,19064.07
28/11/2016,19122.14
25/11/2016,19093.72
23/11/2016,19015.52
22/11/2016,18970.39
21/11/2016,18898.68
18/11/2016,18905.33
17/11/2016,18866.22
16/11/2016,18909.85
15/11/2016,18858.21
14/11/2016,18876.77
11/11/2016,18781.65
10/11/2016,18603.14
9/11/2016,18317.26
8/11/2016,18251.38
7/11/2016,17994.64
4/11/2016,17928.35
3/11/2016,17978.75
2/11/2016,18017.72
1/11/2016,18158.24
31/10/2016,18176.60
28/10/2016,18193.79
27/10/2016,18234.81
26/10/2016,18103.80
25/10/2016,18206.52
24/10/2016,18197.14
21/10/2016,18152.63
20/10/2016,18161.87
19/10/2016,18178.21
18/10/2016,18145.06
17/10/2016,18135.85
14/10/2016,18177.35
13/10/2016,18088.32
12/10/2016,18132.63
11/10/2016,18308.43
10/10/2016,18282.95
7/10/2016,18295.35
6/10/2016,18280.42
5/10/2016,18205.50
4/10/2016,18267.68
3/10/2016,18279.60
30/09/2016,18181.80
29/09/2016,18322.88
28/09/2016,18240.22
27/09/2016,18099.21
26/09/2016,18217.76
23/09/2016,18377.36
22/09/2016,18343.76
21/09/2016,18164.96
20/09/2016,18175.36
19/09/2016,18154.82
16/09/2016,18217.21
15/09/2016,18024.91
14/09/2016,18073.39
13/09/2016,18262.99
12/09/2016,18028.95
9/09/2016,18404.17
8/09/2016,18486.69
7/09/2016,18527.71
6/09/2016,18493.40
2/09/2016,18466.01
1/09/2016,18396.57
31/08/2016,18436.70
30/08/2016,18491.28
29/08/2016,18421.29
26/08/2016,18467.92
25/08/2016,18471.21
24/08/2016,18537.50
23/08/2016,18568.94
22/08/2016,18535.86
19/08/2016,18585.17
18/08/2016,18566.54
17/08/2016,18537.09
16/08/2016,18614.48
15/08/2016,18588.59
12/08/2016,18595.65
11/08/2016,18519.08
10/08/2016,18541.48
9/08/2016,18538.05
8/08/2016,18541.89
5/08/2016,18402.80
4/08/2016,18351.43
3/08/2016,18313.08
2/08/2016,18401.15
1/08/2016,18434.50
29/07/2016,18442.52
28/07/2016,18461.01
27/07/2016,18473.27
26/07/2016,18497.37
25/07/2016,18554.49
22/07/2016,18524.15
21/07/2016,18589.96
20/07/2016,18582.70
19/07/2016,18503.12
18/07/2016,18521.55
15/07/2016,18508.88
14/07/2016,18414.30
13/07/2016,18356.78
12/07/2016,18259.12
11/07/2016,18161.53
8/07/2016,17971.22
7/07/2016,17924.24
6/07/2016,17807.47
5/07/2016,17904.45
1/07/2016,17924.24
30/06/2016,17712.76
29/06/2016,17456.02
28/06/2016,17190.51
27/06/2016,17355.21
24/06/2016,17946.63
23/06/2016,17844.11
22/06/2016,17832.67
21/06/2016,17827.33
20/06/2016,17736.87
17/06/2016,17733.44
16/06/2016,17602.23
15/06/2016,17703.65
14/06/2016,17710.77
13/06/2016,17830.50
10/06/2016,17938.82
9/06/2016,17969.98
8/06/2016,17931.91
7/06/2016,17936.22
6/06/2016,17825.69
3/06/2016,17799.80
2/06/2016,17789.05
1/06/2016,17754.55
31/05/2016,17891.50
27/05/2016,17826.85
26/05/2016,17859.52
25/05/2016,17735.09
24/05/2016,17525.19
23/05/2016,17507.04
20/05/2016,17437.32
19/05/2016,17514.16
18/05/2016,17501.28
17/05/2016,17701.46
16/05/2016,17531.76
13/05/2016,17711.12
12/05/2016,17711.12
11/05/2016,17919.03
10/05/2016,17726.66
9/05/2016,17743.85
6/05/2016,17650.30
5/05/2016,17664.48
4/05/2016,17735.02
3/05/2016,17870.75
2/05/2016,17783.78
29/04/2016,17813.09
28/04/2016,18023.88
27/04/2016,17996.14
26/04/2016,17987.38
25/04/2016,17990.94
22/04/2016,17985.05
21/04/2016,18092.84
20/04/2016,18059.49
19/04/2016,18012.10
18/04/2016,17890.20
15/04/2016,17925.95
14/04/2016,17912.25
13/04/2016,17741.66
12/04/2016,17571.34
11/04/2016,17586.48
8/04/2016,17555.39
7/04/2016,17687.28
6/04/2016,17605.45
5/04/2016,17718.03
4/04/2016,17799.39
1/04/2016,17661.74
31/03/2016,17716.05
30/03/2016,17652.36
29/03/2016,17512.58
28/03/2016,17526.08
24/03/2016,17485.33
23/03/2016,17588.81
22/03/2016,17602.71
21/03/2016,17589.70
18/03/2016,17481.49
17/03/2016,17321.38
16/03/2016,17249.34
15/03/2016,17217.15
14/03/2016,17207.49
11/03/2016,17014.99
10/03/2016,17006.05
9/03/2016,16969.17
8/03/2016,17050.67
7/03/2016,16991.29
4/03/2016,16945.00
3/03/2016,16896.17
2/03/2016,16851.17
1/03/2016,16545.67
29/02/2016,16634.15
26/02/2016,16712.70
25/02/2016,16504.38
24/02/2016,16418.84
23/02/2016,16610.39
22/02/2016,16417.13
19/02/2016,16410.96
18/02/2016,16483.76
17/02/2016,16217.98
16/02/2016,16012.39
12/02/2016,15691.62
11/02/2016,15897.82
10/02/2016,16035.61
9/02/2016,16005.41
8/02/2016,16147.51
5/02/2016,16417.95
4/02/2016,16329.67
3/02/2016,16186.20
2/02/2016,16420.21
1/02/2016,16453.63
29/01/2016,16090.26
28/01/2016,15960.28
27/01/2016,16168.74
26/01/2016,15893.16
25/01/2016,16086.46
22/01/2016,15921.10
21/01/2016,15768.87
20/01/2016,15989.45
19/01/2016,16009.45
15/01/2016,16354.33
14/01/2016,16159.01
13/01/2016,16526.63
12/01/2016,16419.11
11/01/2016,16358.71
8/01/2016,16519.17
7/01/2016,16888.36
6/01/2016,17154.83
5/01/2016,17147.50
4/01/2016,17405.48
31/12/2015,17590.66
30/12/2015,17711.94
29/12/2015,17547.37
28/12/2015,17535.66
24/12/2015,17593.26
23/12/2015,17427.63
22/12/2015,17253.55
21/12/2015,17154.94
18/12/2015,17495.04
17/12/2015,17756.54
16/12/2015,17530.85
15/12/2015,17374.78
14/12/2015,17277.11
11/12/2015,17574.75
10/12/2015,17493.17
9/12/2015,17558.18
8/12/2015,17703.99
7/12/2015,17845.49
4/12/2015,17482.68
3/12/2015,17741.57
2/12/2015,17883.14
1/12/2015,17719.72
30/11/2015,17802.84
27/11/2015,17806.04
25/11/2015,17820.81
24/11/2015,17770.90
23/11/2015,17823.61
20/11/2015,17732.75
19/11/2015,17739.83
18/11/2015,17485.49
17/11/2015,17486.99
16/11/2015,17229.94
13/11/2015,17439.25
12/11/2015,17691.93
11/11/2015,17769.50
10/11/2015,17724.13
9/11/2015,17900.78
6/11/2015,17855.22
5/11/2015,17871.25
4/11/2015,17929.58
3/11/2015,17819.74
2/11/2015,17672.62
30/10/2015,17756.60
29/10/2015,17771.50
28/10/2015,17586.69
27/10/2015,17608.89
26/10/2015,17649.57
23/10/2015,17525.11
22/10/2015,17180.88
21/10/2015,17225.93
20/10/2015,17228.47
19/10/2015,17209.43
16/10/2015,17141.75
15/10/2015,16944.86
14/10/2015,17079.08
13/10/2015,17113.55
12/10/2015,17082.29
9/10/2015,17054.69
8/10/2015,16904.17
7/10/2015,16805.42
6/10/2015,16774.02
5/10/2015,16502.10
2/10/2015,16258.25
1/10/2015,16278.62
30/09/2015,16057.08
29/09/2015,16001.76
28/09/2015,16313.26
25/09/2015,16205.07
24/09/2015,16257.11
23/09/2015,16332.81
22/09/2015,16477.45
21/09/2015,16406.10
18/09/2015,16674.74
17/09/2015,16738.08
16/09/2015,16599.51
15/09/2015,16382.58
14/09/2015,16450.86
11/09/2015,16330.40
10/09/2015,16252.57
9/09/2015,16505.04
8/09/2015,16109.93
4/09/2015,16371.76
3/09/2015,16364.34
2/09/2015,16058.35
1/09/2015,16528.03
31/08/2015,16632.02
28/08/2015,16649.42
27/08/2015,16285.51
26/08/2015,15676.26
25/08/2015,15882.27
24/08/2015,16459.75
21/08/2015,16990.69
20/08/2015,17345.32
19/08/2015,17508.74
18/08/2015,17537.30
17/08/2015,17472.66
14/08/2015,17410.12
13/08/2015,17401.64
12/08/2015,17382.93
11/08/2015,17593.59
10/08/2015,17375.18
7/08/2015,17414.94
6/08/2015,17542.61
5/08/2015,17555.24
4/08/2015,17596.93
3/08/2015,17696.74
31/07/2015,17755.87
30/07/2015,17743.24
29/07/2015,17631.40
28/07/2015,17449.81
27/07/2015,17561.78
24/07/2015,17731.05
23/07/2015,17853.78
22/07/2015,17918.35
21/07/2015,18096.67
20/07/2015,18085.91
17/07/2015,18117.58
16/07/2015,18078.16
15/07/2015,18053.38
14/07/2015,17974.61
13/07/2015,17787.27
10/07/2015,17561.12
9/07/2015,17530.38
8/07/2015,17759.01
7/07/2015,17684.92
6/07/2015,17728.08
2/07/2015,17763.32
1/07/2015,17638.12
30/06/2015,17599.96
29/06/2015,17936.74
26/06/2015,17892.03
25/06/2015,17977.11
24/06/2015,18139.10
23/06/2015,18121.78
22/06/2015,18027.63
19/06/2015,18116.24
18/06/2015,17944.61
17/06/2015,17909.58
16/06/2015,17787.43
15/06/2015,17890.76
12/06/2015,18035.83
11/06/2015,18001.27
10/06/2015,17765.38
9/06/2015,17766.95
8/06/2015,17849.46
5/06/2015,17905.38
4/06/2015,18072.47
3/06/2015,18018.42
2/06/2015,18033.33
1/06/2015,18017.82
29/05/2015,18128.12
28/05/2015,18154.14
27/05/2015,18045.08
26/05/2015,18229.75
22/05/2015,18286.87
21/05/2015,18285.87
20/05/2015,18315.06
19/05/2015,18300.48
18/05/2015,18267.25
15/05/2015,18251.97
14/05/2015,18062.49
13/05/2015,18070.37
12/05/2015,18096.16
11/05/2015,18187.78
8/05/2015,17933.64
7/05/2015,17840.25
6/05/2015,17934.81
5/05/2015,18062.53
4/05/2015,18026.02
1/05/2015,17859.27
30/04/2015,18033.33
29/04/2015,18093.69
28/04/2015,18035.90
27/04/2015,18097.89
24/04/2015,18056.42
23/04/2015,18031.90
22/04/2015,17950.82
21/04/2015,18034.23
20/04/2015,17841.18
17/04/2015,18102.56
16/04/2015,18106.27
15/04/2015,18045.71
14/04/2015,17979.11
13/04/2015,18052.32
10/04/2015,17956.73
9/04/2015,17902.51
8/04/2015,17877.62
7/04/2015,17884.32
6/04/2015,17755.50
2/04/2015,17699.52
1/04/2015,17778.52
31/03/2015,17965.37
30/03/2015,17727.48
27/03/2015,17673.63
26/03/2015,17716.27
25/03/2015,18012.61
24/03/2015,18110.87
23/03/2015,18136.73
20/03/2015,17961.13
19/03/2015,18072.58
18/03/2015,17846.80
17/03/2015,17972.22
16/03/2015,17751.24
13/03/2015,17889.05
12/03/2015,17626.84
11/03/2015,17662.94
10/03/2015,17989.56
9/03/2015,17856.56
6/03/2015,18135.72
5/03/2015,18096.90
4/03/2015,18203.37
3/03/2015,18281.95
2/03/2015,18134.05
27/02/2015,18213.26
26/02/2015,18224.41
25/02/2015,18208.67
24/02/2015,18112.57
23/02/2015,18140.76
20/02/2015,17985.77
19/02/2015,18028.67
18/02/2015,18045.72
17/02/2015,18019.80
13/02/2015,17968.65
12/02/2015,17862.14
11/02/2015,17867.86
10/02/2015,17736.15
9/02/2015,17821.49
6/02/2015,17881.54
5/02/2015,17677.26
4/02/2015,17664.99
3/02/2015,17369.97
2/02/2015,17169.99
30/01/2015,17416.85
29/01/2015,17195.29
28/01/2015,17402.91
27/01/2015,17638.53
26/01/2015,17668.11
23/01/2015,17812.50
22/01/2015,17557.29
21/01/2015,17509.96
20/01/2015,17516.96
16/01/2015,17320.00
15/01/2015,17436.30
14/01/2015,17609.06
13/01/2015,17645.02
12/01/2015,17742.05
9/01/2015,17911.02
8/01/2015,17591.97
7/01/2015,17374.78
6/01/2015,17504.18
5/01/2015,17821.30
2/01/2015,17823.07